"date","states","positive","negative","totalTestResults","death","hospitalized","positiveIncrease","negativeIncrease","totalTestResultsIncrease","deathIncrease","hospitalizedIncrease"
2020-01-22,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-01-23,1,1,NA,1,NA,NA,0,0,0,0,0
2020-01-24,1,1,NA,1,NA,NA,0,0,0,0,0
2020-01-25,1,1,NA,1,NA,NA,0,0,0,0,0
2020-01-26,1,1,NA,1,NA,NA,0,0,0,0,0
2020-01-27,1,1,NA,1,NA,NA,0,0,0,0,0
2020-01-28,1,1,NA,1,NA,NA,0,0,0,0,0
2020-01-29,1,1,NA,1,NA,NA,0,0,0,0,0
2020-01-30,1,1,NA,1,NA,NA,0,0,0,0,0
2020-01-31,1,1,NA,1,NA,NA,0,0,0,0,0
2020-02-01,1,1,NA,1,NA,NA,0,0,0,0,0
2020-02-02,1,1,NA,1,NA,NA,0,0,0,0,0
2020-02-03,1,1,NA,1,NA,NA,0,0,0,0,0
2020-02-04,1,1,NA,1,NA,NA,0,0,0,0,0
2020-02-05,1,1,NA,1,NA,NA,0,0,0,0,0
2020-02-06,1,1,NA,1,NA,NA,0,0,0,0,0
2020-02-07,1,2,NA,2,NA,NA,1,0,1,0,0
2020-02-08,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-09,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-10,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-11,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-12,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-13,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-14,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-15,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-16,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-17,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-18,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-19,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-20,1,2,NA,2,NA,NA,0,0,0,0,0
2020-02-21,1,2,NA,2,NA,NA,0,0,0,0,0
