"FIPS","STATE","AREA_NAME","stay at home",">50 gatherings",">500 gatherings","public schools","restaurant dine-in","entertainment/gym","federal guidelines","foreign travel ban"
0,"US","united states","","","","","","","",""
1000,"AL","alabama","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1001,"AL","autauga county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1003,"AL","baldwin county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1005,"AL","barbour county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1007,"AL","bibb county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1009,"AL","blount county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1011,"AL","bullock county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1013,"AL","butler county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1015,"AL","calhoun county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1017,"AL","chambers county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1019,"AL","cherokee county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1021,"AL","chilton county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1023,"AL","choctaw county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1025,"AL","clarke county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1027,"AL","clay county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1029,"AL","cleburne county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1031,"AL","coffee county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1033,"AL","colbert county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1035,"AL","conecuh county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1037,"AL","coosa county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1039,"AL","covington county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1041,"AL","crenshaw county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1043,"AL","cullman county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1045,"AL","dale county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1047,"AL","dallas county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1049,"AL","dekalb county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1051,"AL","elmore county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1053,"AL","escambia county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1055,"AL","etowah county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1057,"AL","fayette county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1059,"AL","franklin county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1061,"AL","geneva county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1063,"AL","greene county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1065,"AL","hale county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1067,"AL","henry county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1069,"AL","houston county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1071,"AL","jackson county","2020-04-04","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
1073,"AL","jefferson county","2020-03-26","2020-03-20","2020-03-13","2020-03-16","2020-03-19","2020-03-28","2020-03-16","2020-03-11"
