fips,stateName,state,fips_state,county,key,start_state,end_state,start_county,end_county,start,end
1001,Alabama,AL,1,Autauga County,"Autauga County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1003,Alabama,AL,1,Baldwin County,"Baldwin County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1005,Alabama,AL,1,Barbour County,"Barbour County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1007,Alabama,AL,1,Bibb County,"Bibb County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1009,Alabama,AL,1,Blount County,"Blount County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1011,Alabama,AL,1,Bullock County,"Bullock County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1013,Alabama,AL,1,Butler County,"Butler County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1015,Alabama,AL,1,Calhoun County,"Calhoun County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1017,Alabama,AL,1,Chambers County,"Chambers County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1019,Alabama,AL,1,Cherokee County,"Cherokee County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1021,Alabama,AL,1,Chilton County,"Chilton County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1023,Alabama,AL,1,Choctaw County,"Choctaw County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1025,Alabama,AL,1,Clarke County,"Clarke County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1027,Alabama,AL,1,Clay County,"Clay County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1029,Alabama,AL,1,Cleburne County,"Cleburne County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1031,Alabama,AL,1,Coffee County,"Coffee County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1033,Alabama,AL,1,Colbert County,"Colbert County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1035,Alabama,AL,1,Conecuh County,"Conecuh County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1037,Alabama,AL,1,Coosa County,"Coosa County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
1039,Alabama,AL,1,Covington County,"Covington County, Alabama",2020-04-04,2020-04-30,,,2020-04-04,2020-04-30
