fips,stateName,county,stayhome_start,stayhome_end
1001,Alabama,Autauga County,2020-04-04,2020-04-30
1003,Alabama,Baldwin County,2020-04-04,2020-04-30
1005,Alabama,Barbour County,2020-04-04,2020-04-30
1007,Alabama,Bibb County,2020-04-04,2020-04-30
1009,Alabama,Blount County,2020-04-04,2020-04-30
1011,Alabama,Bullock County,2020-04-04,2020-04-30
1013,Alabama,Butler County,2020-04-04,2020-04-30
1015,Alabama,Calhoun County,2020-04-04,2020-04-30
1017,Alabama,Chambers County,2020-04-04,2020-04-30
1019,Alabama,Cherokee County,2020-04-04,2020-04-30
1021,Alabama,Chilton County,2020-04-04,2020-04-30
1023,Alabama,Choctaw County,2020-04-04,2020-04-30
1025,Alabama,Clarke County,2020-04-04,2020-04-30
1027,Alabama,Clay County,2020-04-04,2020-04-30
1029,Alabama,Cleburne County,2020-04-04,2020-04-30
1031,Alabama,Coffee County,2020-04-04,2020-04-30
1033,Alabama,Colbert County,2020-04-04,2020-04-30
1035,Alabama,Conecuh County,2020-04-04,2020-04-30
1037,Alabama,Coosa County,2020-04-04,2020-04-30
1039,Alabama,Covington County,2020-04-04,2020-04-30
1041,Alabama,Crenshaw County,2020-04-04,2020-04-30
1043,Alabama,Cullman County,2020-04-04,2020-04-30
1045,Alabama,Dale County,2020-04-04,2020-04-30
1047,Alabama,Dallas County,2020-04-04,2020-04-30
1049,Alabama,DeKalb County,2020-04-04,2020-04-30
1051,Alabama,Elmore County,2020-04-04,2020-04-30
1053,Alabama,Escambia County,2020-04-04,2020-04-30
1055,Alabama,Etowah County,2020-04-04,2020-04-30
1057,Alabama,Fayette County,2020-04-04,2020-04-30
1059,Alabama,Franklin County,2020-04-04,2020-04-30
1061,Alabama,Geneva County,2020-04-04,2020-04-30
1063,Alabama,Greene County,2020-04-04,2020-04-30
1065,Alabama,Hale County,2020-04-04,2020-04-30
1067,Alabama,Henry County,2020-04-04,2020-04-30
1069,Alabama,Houston County,2020-04-04,2020-04-30
1071,Alabama,Jackson County,2020-04-04,2020-04-30
1073,Alabama,Jefferson County,2020-03-24,2020-04-30
1075,Alabama,Lamar County,2020-04-04,2020-04-30
1077,Alabama,Lauderdale County,2020-04-04,2020-04-30
1079,Alabama,Lawrence County,2020-04-04,2020-04-30
1081,Alabama,Lee County,2020-04-04,2020-04-30
1083,Alabama,Limestone County,2020-04-04,2020-04-30
1085,Alabama,Lowndes County,2020-04-04,2020-04-30
1087,Alabama,Macon County,2020-04-04,2020-04-30
1089,Alabama,Madison County,2020-04-04,2020-04-30
1091,Alabama,Marengo County,2020-04-04,2020-04-30
1093,Alabama,Marion County,2020-04-04,2020-04-30
1095,Alabama,Marshall County,2020-04-04,2020-04-30
1097,Alabama,Mobile County,2020-04-04,2020-04-30
1099,Alabama,Monroe County,2020-04-04,2020-04-30
1101,Alabama,Montgomery County,2020-04-04,2020-04-30
1103,Alabama,Morgan County,2020-04-04,2020-04-30
1105,Alabama,Perry County,2020-04-04,2020-04-30
1107,Alabama,Pickens County,2020-04-04,2020-04-30
1109,Alabama,Pike County,2020-04-04,2020-04-30
1111,Alabama,Randolph County,2020-04-04,2020-04-30
1113,Alabama,Russell County,2020-04-04,2020-04-30
1115,Alabama,St. Clair County,2020-04-04,2020-04-30
1117,Alabama,Shelby County,2020-03-24,2020-04-30
1119,Alabama,Sumter County,2020-04-04,2020-04-30
1121,Alabama,Talladega County,2020-04-04,2020-04-30
1123,Alabama,Tallapoosa County,2020-04-04,2020-04-30
1125,Alabama,Tuscaloosa County,2020-03-29,2020-04-30
1127,Alabama,Walker County,2020-04-04,2020-04-30
1129,Alabama,Washington County,2020-04-04,2020-04-30
1131,Alabama,Wilcox County,2020-04-04,2020-04-30
1133,Alabama,Winston County,2020-04-04,2020-04-30
2013,Alaska,Aleutians East Borough,2020-03-28,
2016,Alaska,Aleutians West Census Area,2020-03-28,
2020,Alaska,Anchorage Municipality,2020-03-22,2020-03-31
2050,Alaska,Bethel Census Area,2020-03-28,
2060,Alaska,Bristol Bay Borough,2020-03-28,
2068,Alaska,Denali Borough,2020-03-28,
2070,Alaska,Dillingham Census Area,2020-03-28,
2090,Alaska,Fairbanks North Star Borough,2020-03-28,
2100,Alaska,Haines Borough,2020-03-25,2020-04-15
2105,Alaska,Hoonah-Angoon Census Area,2020-03-28,
2110,Alaska,Juneau City and Borough,2020-03-28,
2122,Alaska,Kenai Peninsula Borough,2020-03-28,
2130,Alaska,Ketchikan Gateway Borough,2020-03-28,
2150,Alaska,Kodiak Island Borough,2020-03-28,
2158,Alaska,Kusilvak Census Area,2020-03-28,
2164,Alaska,Lake and Peninsula Borough,2020-03-28,
2170,Alaska,Matanuska-Susitna Borough,2020-03-28,
2180,Alaska,Nome Census Area,2020-03-28,
2185,Alaska,North Slope Borough,2020-03-28,
2188,Alaska,Northwest Arctic Borough,2020-03-28,
2195,Alaska,Petersburg Census Area,2020-03-28,
2198,Alaska,Prince of Wales-Hyder Census Area,2020-03-28,
2220,Alaska,Sitka City and Borough,2020-03-28,
2230,Alaska,Skagway Municipality,2020-03-25,2020-04-08
2240,Alaska,Southeast Fairbanks Census Area,2020-03-28,
2261,Alaska,Valdez-Cordova Census Area,2020-03-28,
