Date,County,Count,Deaths
4/17/2020,Barnstable,582,
4/17/2020,Berkshire,390,
4/17/2020,Bristol,1693,
4/17/2020,Dukes,14,
4/17/2020,Essex,4668,
4/17/2020,Franklin,178,
4/17/2020,Hampden,2163,
4/17/2020,Hampshire,269,
4/17/2020,Middlesex,7867,
4/17/2020,Nantucket,9,
4/17/2020,Norfolk,3580,
4/17/2020,Plymouth,2614,
4/17/2020,Suffolk,7378,
4/17/2020,Worcester,2812,
4/17/2020,Unknown,768,
4/17/2020,Dukes and Nantucket,,
4/18/2020,Barnstable,599,
4/18/2020,Berkshire,392,
4/18/2020,Bristol,1733,
4/18/2020,Dukes,16,
4/18/2020,Essex,5001,
4/18/2020,Franklin,182,
4/18/2020,Hampden,2283,
4/18/2020,Hampshire,317,
4/18/2020,Middlesex,8422,
4/18/2020,Nantucket,9,
4/18/2020,Norfolk,3740,
4/18/2020,Plymouth,2725,
4/18/2020,Suffolk,7803,
4/18/2020,Worcester,3000,
4/18/2020,Unknown,741,
4/18/2020,Dukes and Nantucket,,
4/19/2020,Barnstable,642,
4/19/2020,Berkshire,394,
4/19/2020,Bristol,1766,
4/19/2020,Dukes,16,
4/19/2020,Essex,5240,
4/19/2020,Franklin,186,
4/19/2020,Hampden,2366,
4/19/2020,Hampshire,328,
4/19/2020,Middlesex,8863,
4/19/2020,Nantucket,9,
4/19/2020,Norfolk,3874,
4/19/2020,Plymouth,2869,
4/19/2020,Suffolk,8181,
4/19/2020,Worcester,3117,
4/19/2020,Unknown,823,
4/19/2020,Dukes and Nantucket,,
4/20/2020,Barnstable,674,
4/20/2020,Berkshire,394,
4/20/2020,Bristol,1815,
4/20/2020,Dukes,16,
4/20/2020,Essex,5385,
4/20/2020,Franklin,192,
4/20/2020,Hampden,2467,
4/20/2020,Hampshire,343,
4/20/2020,Middlesex,9383,
4/20/2020,Nantucket,9,
4/20/2020,Norfolk,4045,
4/20/2020,Plymouth,3014,
4/20/2020,Suffolk,8422,
4/20/2020,Worcester,3230,
4/20/2020,Unknown,863,
4/20/2020,Dukes and Nantucket,,
4/21/2020,Barnstable,682,
4/21/2020,Berkshire,411,
4/21/2020,Bristol,1888,
4/21/2020,Dukes,16,
4/21/2020,Essex,5621,
4/21/2020,Franklin,197,
4/21/2020,Hampden,2562,
4/21/2020,Hampshire,348,
4/21/2020,Middlesex,9756,
4/21/2020,Nantucket,9,
4/21/2020,Norfolk,4152,
4/21/2020,Plymouth,3083,
4/21/2020,Suffolk,8778,
4/21/2020,Worcester,3392,
4/21/2020,Unknown,937,
4/21/2020,Dukes and Nantucket,,
4/22/2020,Barnstable,688,
4/22/2020,Berkshire,411,
4/22/2020,Bristol,1946,
4/22/2020,Dukes,16,
4/22/2020,Essex,5886,
4/22/2020,Franklin,201,
4/22/2020,Hampden,2710,
4/22/2020,Hampshire,357,
4/22/2020,Middlesex,10239,
4/22/2020,Nantucket,9,
4/22/2020,Norfolk,4306,
4/22/2020,Plymouth,3296,
4/22/2020,Suffolk,9174,
4/22/2020,Worcester,3511,
4/22/2020,Unknown,864,
4/22/2020,Dukes and Nantucket,,
4/23/2020,Barnstable,720,
4/23/2020,Berkshire,425,
4/23/2020,Bristol,2222,
4/23/2020,Dukes,16,
4/23/2020,Essex,6325,
4/23/2020,Franklin,208,
4/23/2020,Hampden,2871,
4/23/2020,Hampshire,380,
4/23/2020,Middlesex,10877,
4/23/2020,Nantucket,9,
4/23/2020,Norfolk,4641,
4/23/2020,Plymouth,3573,
4/23/2020,Suffolk,9859,
4/23/2020,Worcester,3854,
4/23/2020,Unknown,747,
4/23/2020,Dukes and Nantucket,,
4/24/2020,Barnstable,760,
4/24/2020,Berkshire,432,
4/24/2020,Bristol,2739,
4/24/2020,Dukes,17,
4/24/2020,Essex,6952,
4/24/2020,Franklin,222,
4/24/2020,Hampden,3096,
4/24/2020,Hampshire,409,
4/24/2020,Middlesex,11843,
4/24/2020,Nantucket,9,
4/24/2020,Norfolk,5084,
4/24/2020,Plymouth,4204,
4/24/2020,Suffolk,10847,
4/24/2020,Worcester,4285,
4/24/2020,Unknown,801,
4/24/2020,Dukes and Nantucket,,
4/25/2020,Barnstable,770,
4/25/2020,Berkshire,432,
4/25/2020,Bristol,2872,
4/25/2020,Dukes,17,
