date,stateFIPS,stateName,positive,death,positiveIncrease,deathIncrease
2020-01-22,1,Alabama,0,0,0,0
2020-01-22,2,Alaska,0,0,0,0
2020-01-22,4,Arizona,0,0,0,0
2020-01-22,5,Arkansas,0,0,0,0
2020-01-22,6,California,0,0,0,0
2020-01-22,8,Colorado,0,0,0,0
2020-01-22,9,Connecticut,0,0,0,0
2020-01-22,10,Delaware,0,0,0,0
2020-01-22,11,District Of Columbia,0,0,0,0
2020-01-22,12,Florida,0,0,0,0
2020-01-22,13,Georgia,0,0,0,0
2020-01-22,15,Hawaii,0,0,0,0
2020-01-22,16,Idaho,0,0,0,0
2020-01-22,17,Illinois,0,0,0,0
2020-01-22,18,Indiana,0,0,0,0
2020-01-22,19,Iowa,0,0,0,0
2020-01-22,20,Kansas,0,0,0,0
2020-01-22,21,Kentucky,0,0,0,0
2020-01-22,22,Louisiana,0,0,0,0
2020-01-22,23,Maine,0,0,0,0
2020-01-22,24,Maryland,0,0,0,0
2020-01-22,25,Massachusetts,0,0,0,0
2020-01-22,26,Michigan,0,0,0,0
2020-01-22,27,Minnesota,0,0,0,0
2020-01-22,28,Mississippi,0,0,0,0
2020-01-22,29,Missouri,0,0,0,0
2020-01-22,30,Montana,0,0,0,0
2020-01-22,31,Nebraska,0,0,0,0
2020-01-22,32,Nevada,0,0,0,0
2020-01-22,33,New Hampshire,0,0,0,0
2020-01-22,34,New Jersey,0,0,0,0
2020-01-22,35,New Mexico,0,0,0,0
2020-01-22,36,New York,0,0,0,0
2020-01-22,37,North Carolina,0,0,0,0
2020-01-22,38,North Dakota,0,0,0,0
2020-01-22,39,Ohio,0,0,0,0
2020-01-22,40,Oklahoma,0,0,0,0
2020-01-22,41,Oregon,0,0,0,0
2020-01-22,42,Pennsylvania,0,0,0,0
2020-01-22,44,Rhode Island,0,0,0,0
2020-01-22,45,South Carolina,0,0,0,0
2020-01-22,46,South Dakota,0,0,0,0
2020-01-22,47,Tennessee,0,0,0,0
2020-01-22,48,Texas,0,0,0,0
2020-01-22,49,Utah,0,0,0,0
2020-01-22,50,Vermont,0,0,0,0
2020-01-22,51,Virginia,0,0,0,0
2020-01-22,53,Washington,1,0,1,0
2020-01-22,54,West Virginia,0,0,0,0
2020-01-22,55,Wisconsin,0,0,0,0
2020-01-22,56,Wyoming,0,0,0,0
2020-01-23,1,Alabama,0,0,0,0
2020-01-23,2,Alaska,0,0,0,0
2020-01-23,4,Arizona,0,0,0,0
2020-01-23,5,Arkansas,0,0,0,0
2020-01-23,6,California,0,0,0,0
2020-01-23,8,Colorado,0,0,0,0
2020-01-23,9,Connecticut,0,0,0,0
2020-01-23,10,Delaware,0,0,0,0
2020-01-23,11,District Of Columbia,0,0,0,0
2020-01-23,12,Florida,0,0,0,0
2020-01-23,13,Georgia,0,0,0,0
2020-01-23,15,Hawaii,0,0,0,0
2020-01-23,16,Idaho,0,0,0,0
2020-01-23,17,Illinois,0,0,0,0
2020-01-23,18,Indiana,0,0,0,0
2020-01-23,19,Iowa,0,0,0,0
2020-01-23,20,Kansas,0,0,0,0
2020-01-23,21,Kentucky,0,0,0,0
2020-01-23,22,Louisiana,0,0,0,0
2020-01-23,23,Maine,0,0,0,0
2020-01-23,24,Maryland,0,0,0,0
2020-01-23,25,Massachusetts,0,0,0,0
2020-01-23,26,Michigan,0,0,0,0
2020-01-23,27,Minnesota,0,0,0,0
2020-01-23,28,Mississippi,0,0,0,0
2020-01-23,29,Missouri,0,0,0,0
2020-01-23,30,Montana,0,0,0,0
2020-01-23,31,Nebraska,0,0,0,0
2020-01-23,32,Nevada,0,0,0,0
2020-01-23,33,New Hampshire,0,0,0,0
2020-01-23,34,New Jersey,0,0,0,0
2020-01-23,35,New Mexico,0,0,0,0
2020-01-23,36,New York,0,0,0,0
2020-01-23,37,North Carolina,0,0,0,0
2020-01-23,38,North Dakota,0,0,0,0
2020-01-23,39,Ohio,0,0,0,0
2020-01-23,40,Oklahoma,0,0,0,0
2020-01-23,41,Oregon,0,0,0,0
2020-01-23,42,Pennsylvania,0,0,0,0
2020-01-23,44,Rhode Island,0,0,0,0
2020-01-23,45,South Carolina,0,0,0,0
2020-01-23,46,South Dakota,0,0,0,0
2020-01-23,47,Tennessee,0,0,0,0
2020-01-23,48,Texas,0,0,0,0
2020-01-23,49,Utah,0,0,0,0
2020-01-23,50,Vermont,0,0,0,0
2020-01-23,51,Virginia,0,0,0,0
2020-01-23,53,Washington,1,0,0,0
2020-01-23,54,West Virginia,0,0,0,0
2020-01-23,55,Wisconsin,0,0,0,0
2020-01-23,56,Wyoming,0,0,0,0
2020-01-24,1,Alabama,0,0,0,0
2020-01-24,2,Alaska,0,0,0,0
2020-01-24,4,Arizona,0,0,0,0
